responseid,starttime,endtime,verbal,direction,condition,consent,check,gender,age,answer,dv,extreme,stock
R_32PXChRYgsMAVDX,3/30/2018 11:48,3/30/2018 11:50,1,0,verbal,1,4,1,53,1,7,0,RHI
R_a9KZpxAX6Yb34Gd,3/30/2018 9:30,3/30/2018 9:32,1,0,verbal,1,4,2,24,1,2,0,GIL
R_12fK3dA7WdAXSfy,3/30/2018 10:33,3/30/2018 10:34,1,0,verbal,1,4,2,35,1,6,0,UFS
R_ugAXvxEga5yLqqB,3/30/2018 10:54,3/30/2018 10:56,1,0,verbal,1,4,2,23,2,8,1,SCI
R_1OTacndhGJyY44E,3/30/2018 12:22,3/30/2018 12:23,1,0,verbal,1,4,1,28,2,7,0,LPT
R_2aPvGKYDHV91otR,3/30/2018 12:00,3/30/2018 12:03,1,0,verbal,1,4,2,57,2,8,1,VET
R_pMpSYJu0Jx9Yupb,3/30/2018 10:13,3/30/2018 10:16,1,0,verbal,1,4,2,34,1,7,0,HEP
R_2zAU7Qv39Uiz9qI,3/30/2018 9:46,3/30/2018 9:47,1,0,verbal,1,4,2,33,1,7,0,GIL
R_2wGC1AEO5ic5Wwb,3/30/2018 9:28,3/30/2018 9:30,1,0,verbal,1,4,1,34,1,6,0,CFX
R_31EsXJOdCFx2CUP,3/30/2018 12:46,3/30/2018 12:48,1,0,verbal,1,4,1,48,1,8,1,CFX
R_31EsXJOdCFx2CUP,3/30/2018 12:46,3/30/2018 12:48,1,0,verbal,1,4,1,48,2,8,1,CFX
R_1dphiko7vDV3JoW,3/30/2018 9:38,3/30/2018 9:41,1,0,verbal,1,4,2,28,2,7,0,UFS
R_2eQ0KDmV5zlnCp0,3/30/2018 9:28,3/30/2018 9:30,1,0,verbal,1,4,1,25,2,6,0,TEP
R_pMpSYJu0Jx9Yupb,3/30/2018 10:13,3/30/2018 10:16,1,0,verbal,1,4,2,34,2,7,0,HEP
R_3g7wHGI7nPDEEzh,3/30/2018 9:27,3/30/2018 9:28,1,0,verbal,1,4,2,40,2,9,1,UFS
R_1FtUpC6wpQrsdcA,3/30/2018 9:35,3/30/2018 9:37,1,0,verbal,1,4,1,22,1,7,0,TEP
R_8CwRx8hxCn5zrUd,3/30/2018 9:40,3/30/2018 9:41,1,0,verbal,1,4,1,53,2,9,1,VET
R_2zAU7Qv39Uiz9qI,3/30/2018 9:46,3/30/2018 9:47,1,0,verbal,1,4,2,33,2,8,1,GIL
R_3jTFGZjj0niHS9f,3/30/2018 9:46,3/30/2018 9:48,1,0,verbal,1,4,2,55,2,8,1,HEP
R_10vCrXwwpvGy19h,3/30/2018 11:31,3/30/2018 11:32,1,0,verbal,1,4,2,35,1,6,0,GIL
R_1oGteYVajkvY8vE,3/30/2018 11:12,3/30/2018 11:14,1,0,verbal,1,4,2,30,1,6,0,FII
R_qzptsqqsUFu6PgB,3/30/2018 10:23,3/30/2018 10:27,1,0,verbal,1,4,2,52,1,6,0,LPT
R_7ZGXXPvlNPBP693,3/30/2018 11:14,3/30/2018 11:16,1,0,verbal,1,4,1,41,1,7,0,SCI
R_4JbdMzFSG1vbiJX,3/30/2018 13:54,3/30/2018 13:56,1,0,verbal,1,4,2,37,2,6,0,GIL
R_5BTIVl1b1Vn6AwN,3/30/2018 9:37,3/30/2018 9:38,1,0,verbal,1,4,2,31,2,8,1,GIL
R_3oRCzM6yrHUNOQ7,3/30/2018 14:22,3/30/2018 14:24,1,0,verbal,1,4,2,37,1,7,0,SCI
